מספר חברה,שם חברה,שם באנגלית,סוג תאגיד,סטטוס חברה,תאור חברה,מטרת החברה,תאריך התאגדות,חברה ממשלתית,מגבלות,מפרה,שנה אחרונה של דוח שנתי (שהוגש),city,street,number,מיקוד,ת.ד.,מדינה,אצל,תת סטטוס,TAB_Changes_Dates.latest_change,Year,Month
510218274,דר מירון חרשת כימית בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,09.10.59 00:00,לא,מוגבלת,,2022,הוד השרון,החרש,4,4524075,,ישראל,כ.צ.ט בע~מ ,,17.12.2019,2019,12
510223779,בית קרור משמר בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,06.12.59 00:00,לא,מוגבלת,,2020,פרדסיה,,0,4281500,,ישראל,יבולים בע~מ ,,28.11.2019,2019,11
510231541,משה גינסבורג ובניו בנין והשקעות בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,23.02.60 00:00,לא,מוגבלת,,2020,יהוד-מונוסון,הרימון נוה אפרים,68,6019000,,ישראל,בן עמי,,28.11.2017,2017,11
510231574,שיש ירושלים אהרן גרבלסקי ובנו בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,24.02.60 00:00,לא,מוגבלת,,2021,א.ת. הר טוב ,המלאכה ,4,9980101,,ישראל,,,24.10.2021,2021,10
510236300,מדגרות שרייבר בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,01.04.60 00:00,לא,מוגבלת,,2021,הוד השרון,דרך רמתים,120,4526022,,ישראל,,,11.09.2019,2019,9
510238116,מפעלי חמצן וארגון בע~מ,OXYGEN & ARGON WORKS LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,26.04.60 00:00,לא,מוגבלת,,2022,קיסריה,חבצלת החוף,4,3088900,,ישראל,א.ת דרומי,,29.08.2021,2021,8
510242670,כלמוביל בע'מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,06.06.60 00:00,לא,מוגבלת,,2021,ראש העין,עמל,20,4809261,,ישראל,פארק אפק ,,07.08.2019,2019,8
510259807,חברת חלקה 444 גוש 6045 בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,12.10.60 00:00,לא,מוגבלת,,2021,סביון,סמ הגבעה,6,5651106,,ישראל,נתן זכאי,,07.10.2021,2021,10
510262744,נאות גבעת הפרחים  בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,06.11.60 00:00,לא,מוגבלת,,2021,הוד השרון,הבנים,80,4522425,,ישראל,אלי בן-שם,,14.06.2020,2020,6
510267453,או ב פר בע'מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,01.11.60 00:00,לא,מוגבלת,,2020,קיסריה,תרשיש,6,3088900,,ישראל,,,25.10.2018,2018,10
510271992,ארליקטקס בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,02.01.61 00:00,לא,מוגבלת,,2022,יהוד-מונוסון,שבזי,21,5623026,,ישראל,,,01.12.2019,2019,12
510276017,המועצה לייצור ושווק של בקר וצאן לבשר,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,24.01.61 00:00,לא,לא מוגבלת,מפרה,2019,יהוד-מונוסון,דרך החורש,4,5647003,,ישראל,,,08.09.2019,2019,9
510278286,החברה הירושלמית למכוני מנועים למכוניות בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,03.02.61 00:00,לא,מוגבלת,,2021,אבן יהודה,הקשת,3,4050000,,ישראל,לנגמן,,02.07.2014,2014,7
510289457,כ.צ.ט. נוביס בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,10.04.61 00:00,לא,מוגבלת,,2022,הוד השרון,החרש,4,4524075,,ישראל,חברת  כצט בע~מ,,17.12.2019,2019,12
510294499,סופר - מרים בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,28.05.61 00:00,לא,מוגבלת,,2021,יהוד-מונוסון,אלטלף אברהם,19,5621613,,ישראל,נוימן מרים,,14.01.2021,2021,1
510294804,מינרלים ורפרקטורים בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,30.05.61 00:00,לא,מוגבלת,,2021,יהוד-מונוסון,דרך העצמאות,43,5630209,,ישראל,,,07.09.2018,2018,9
510300536,מרגנית השרון בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,05.07.61 00:00,לא,מוגבלת,מפרה,2020,הוד השרון,השומר,15,4522258,,ישראל,,,30.11.2020,2020,11
510302136,חברת חלקה 53 בגוש 7166 בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,10.07.61 00:00,לא,מוגבלת,,2022,יהוד-מונוסון,היובל,4,5647702,,ישראל,יוסף הפנר,,06.08.2020,2020,8
510303514,אחוזת פינשטין אלנבי 76 בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,16.07.61 00:00,לא,מוגבלת,,2021,הוד השרון,נחל הדר,12,4507306,,ישראל,רפי שגב,,25.02.2014,2014,2
510311251,דב גרינשטיין בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,14.08.61 00:00,לא,מוגבלת,,2021,סביון,הגבעה,55,5650055,,ישראל,סופי גרינשטין,,07.03.2021,2021,3
510359177,הידית מפעל לחרטות עץ בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,26.07.62 00:00,לא,מוגבלת,,2021,פרדס חנה-כרכור,חרושת,1,3714403,,ישראל,,,22.01.2018,2018,1
510379571,דר ל נוימן בית חרושת לפיליטורה ולכות בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,08.02.63 00:00,לא,מוגבלת,,2021,ראש העין,היצירה,3,4801735,,ישראל,,,18.04.2021,2021,4
510381007,חלק בית בחלקה 9 בגוש 7695 בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,19.02.63 00:00,לא,מוגבלת,מפרה,2018,הוד השרון,סמ הירק,8,4526477,,ישראל,מקסימיליאן בק,,04.07.2014,2014,7
510401805,חלקה 96 בגוש 3939 בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,27.06.63 00:00,לא,מוגבלת,מפרה,2019,ראש העין,נלי זקס,1,4840946,,ישראל,שריג גל,,20.05.2021,2021,5
510403157,ע. סלעי הנדסה בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,07.07.63 00:00,לא,מוגבלת,,2021,קיסריה,אלון התבור,20,3088900,,ישראל,,,11.04.2021,2021,4
510420375,סופר בלוק בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,08.12.63 00:00,לא,מוגבלת,מפרה,2018,יהוד-מונוסון,אלטלף אברהם,14,5621611,,ישראל,אמריקנה בע~מ,,17.10.2018,2018,10
510420383,אמריקנה בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,08.12.63 00:00,לא,מוגבלת,מפרה,2018,יהוד-מונוסון,אלטלף אברהם,14,5621611,,ישראל,,,17.10.2018,2018,10
510429137,הרהיט אחים שמש בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,30.03.64 00:00,לא,מוגבלת,מפרה,2018,הוד השרון,הבנים,6,4526808,,ישראל,,,07.03.2018,2018,3
510435787,ה.שטרן ישראל תכשיטים ואבני חן בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,01.07.64 00:00,לא,מוגבלת,,2021,יהוד-מונוסון,דרך דיין משה,3,5645001,,ישראל,קניון הסביונים,,12.07.2021,2021,7
510436124,ש. שסטוביץ  בע~מ,S. SCHESTOWITZ LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,07.07.64 00:00,לא,מוגבלת,מפרה,2019,קיסריה,אלון התבור,10,3088900,,ישראל,,,27.05.2019,2019,5
510441389,נאות קדומים בע~מ (חל~צ),,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,30.09.64 00:00,לא,מוגבלת,,2020,נתב~ג               ,,0,7010000,,ישראל,,,03.08.2020,2020,8
510453277,גביש צבע ובידוד בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,28.04.65 00:00,לא,מוגבלת,,2020,סביון,האורנים,2,5651656,,ישראל,אהוד זלמנוב,,25.01.2012,2012,1
510454366,חיים קליאוט בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,17.05.65 00:00,לא,מוגבלת,,2021,פרדס חנה-כרכור,הנדיב,7,3707107,,ישראל,,,06.02.2019,2019,2
510460645,רמ-פג חב לבנין ולפתוח בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,21.09.65 00:00,לא,מוגבלת,,2021,פרדס חנה-כרכור,גינת אגוז,10,3708456,,ישראל,,,22.11.2021,2021,11
510468770,אולמות חן- מחולון בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,22.03.66 00:00,לא,מוגבלת,,2022,יהוד-מונוסון,היובל,4,5647702,,ישראל,יוסי הפנר,,29.10.2020,2020,10
510468838,ק.ב.פ. בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,22.03.66 00:00,לא,מוגבלת,מפרה,2021,סביון,השקמה,68,5651725,,ישראל,פלונסקי,,10.08.2021,2021,8
510470982,אלכסנדר אורן בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,06.05.66 00:00,לא,מוגבלת,,2021,סביון,המתנחלים גני יהודה,4,5690500,,ישראל,שלו שרית,,20.02.2022,2022,2
510471592,המועצה לענף החלב בישראל ייצור ושיווק (חל~צ),,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,19.05.66 00:00,לא,לא מוגבלת,,2021,יהוד-מונוסון,דרך החורש,4,5647003,,ישראל,,,14.09.2018,2018,9
510472004,מנחם אורמן ושות בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,30.05.66 00:00,לא,מוגבלת,,2022,יהוד-מונוסון,היובל,4,5647702,,ישראל,מלכה אורבן,,23.02.2020,2020,2
510477094,אולמי חדרה בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,20.10.66 00:00,לא,מוגבלת,,2021,פרדס חנה-כרכור,המעין,1,3712316,,ישראל,מעון רמים ,,12.09.2019,2019,9
510480890,שרות וציוד בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,24.01.67 00:00,לא,מוגבלת,,2020,ראש העין,העבודה,36,4801786,,ישראל,,,23.08.2020,2020,8
510481765,מרכז תרבות וספורט (לנוער ולמבוגרים) היהוד בע~מ (חל~צ),,ישראלית חברה פרטית,פעילה,"פעילויות לגיל הרך, צהרונים, קייטנות ופעילויות חברה, תרבות ופנאי",לעסוק בסוגי עיסוק שפורטו בתקנון,17.02.67 00:00,לא,מוגבלת,,2019,יהוד-מונוסון,מוהליבר,144,5620970,,ישראל,,,22.03.2021,2021,3
510482359,מילבו בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,02.03.67 00:00,לא,מוגבלת,,2020,ראש העין,עמל,2,4809202,,ישראל,,,22.05.2018,2018,5
510483837,מושקוביץ סוכנות לבטוח בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,05.04.67 00:00,לא,מוגבלת,,2021,אבן יהודה,נר הלילה,37,4050000,,ישראל,רון יוסף,,30.12.2014,2014,12
510490717,החלמה ונופש בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,01.12.67 00:00,לא,מוגבלת,,2021,הוד השרון,קישון,7,4525404,,ישראל,זהר יפה,,25.08.2021,2021,8
510496029,חב מוסדות חינוך ותרבות ביהוד מיסודה של הסוכנות בע~מ (חל~צ),,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,08.04.68 00:00,לא,מוגבלת,,2021,יהוד-מונוסון,נתניהו יונתן,1,5620204,,ישראל,,,02.09.2018,2018,9
510496532,קסי מערכות עבוד אינפורמציה בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,16.04.68 00:00,לא,מוגבלת,,2021,סביון,הברוש,13,5651613,,ישראל,,,10.06.2019,2019,6
510499130,סנטוריום נוה השרון בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,07.06.68 00:00,לא,מוגבלת,מפרה,2017,הוד השרון,שלום עליכם,1,4521456,,ישראל,רו~ח נעם כספי,,30.04.2013,2013,4
510501869,יוניטרוול בעמ,UNITRAVEL LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,23.07.68 00:00,לא,מוגבלת,,2021,סביון,אמירים,14,5651642,,ישראל,עופר וינברג,,22.10.2020,2020,10
510512841,בפקס בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,07.03.69 00:00,לא,מוגבלת,,2021,א.ת. אבן יהודה ,שוהם ,2,4050003,,ישראל,בפקס בע~מ,,30.01.2020,2020,1
510514318,המועצה לייצור ולשיווק של דבש (חל~צ),,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,31.03.69 00:00,לא,לא מוגבלת,,2021,יהוד-מונוסון,דרך העצמאות,40,5630417,,ישראל,בית טיפ רסקו,,11.11.2021,2021,11
510522113,סטאקפלסט בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,22.07.69 00:00,לא,מוגבלת,,2021,קיסריה,אלת המסטיק,4,3088900,,ישראל,אצל מוצרי שלם אריזות בע~מ,,27.07.2021,2021,7
510524523,גלפרטס בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,22.08.69 00:00,לא,מוגבלת,,2021,ראש העין,המלאכה,18,4809148,,ישראל,א.תעשייה פארק אפק,,28.11.2019,2019,11
510528995,אייר קונסולידטורס ישראל בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,23.11.69 00:00,לא,מוגבלת,,2022,נתב~ג               ,,304,7010000,,ישראל,בנין ממ~ן,,30.06.2014,2014,6
510531569,נכסים מ.י. בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,26.12.69 00:00,כן,מוגבלת,,2020,נתב~ג               ,,,7010000,282,ישראל,,,08.09.2020,2020,9
510532120,מרקורי מוצרי מדע ותעשיה בע~מ,MERCURY SCIENTIFIC & INDUSTRIAL PRODUCTS LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,06.01.70 00:00,לא,מוגבלת,,2020,ראש העין,העבודה,12,4801762,,ישראל,,,04.08.2020,2020,8
510539505,יצחק מתן בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,17.04.70 00:00,לא,מוגבלת,,2020,ראש העין,היצירה,1,4801733,,ישראל,,,23.09.2019,2019,9
510540164,מסגרית יהוד בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,03.05.70 00:00,לא,מוגבלת,,2020,יהוד-מונוסון,גירון אברהם,6,5621720,,ישראל,אזור תעשייה,,04.10.2021,2021,10
510541998,מ.ט.י. הנדסה בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,24.05.70 00:00,לא,מוגבלת,,2020,ראש העין,המלאכה,11,4809121,,ישראל,פארק התעשיה אפק,,26.12.2017,2017,12
510545585,עצמון פלסט בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,30.06.70 00:00,לא,מוגבלת,,2021,פרדס חנה-כרכור,תדהר,1,3701042,,ישראל,,,28.11.2019,2019,11
510545742,טיקטינר-טמיר בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,02.07.70 00:00,לא,מוגבלת,,2020,פרדס חנה-כרכור,הדקלים,147,3711844,,ישראל,,,01.07.2020,2020,7
510552797,ישמטקס נציגי יצרנים בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,27.09.70 00:00,לא,מוגבלת,,2021,יהוד-מונוסון,דרך העצמאות,40,5630417,,ישראל,,,27.10.2019,2019,10
510554991,מבני פלס בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,02.11.70 00:00,לא,מוגבלת,,2021,קיסריה,האשל,3,3088900,,ישראל,וילאר,,28.06.2021,2021,6
510560220,קראוס תעשיות בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,12.01.71 00:00,לא,מוגבלת,,2020,ראש העין,הרב שלום מנצורה     ,1,4850001,,ישראל,,,29.10.2020,2020,10
510563000,מינסטר פודאקס בע~מ,MUENSTER FOODEX LTD,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,21.02.71 00:00,לא,מוגבלת,,2020,קיסריה,השיטה,8,3088900,,ישראל,,,28.11.2021,2021,11
510569932,דלת יוד שין בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,27.04.71 00:00,לא,מוגבלת,,2021,ראש העין,המרץ,1,4801701,,ישראל,,,25.04.2021,2021,4
510577521,מ טייג ושות בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,02.07.71 00:00,לא,מוגבלת,,2022,קיסריה,שד רוטשילד,,3088900,,ישראל,בוקי בעז,,01.03.2021,2021,3
510582943,ארדע פלסט בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,01.09.71 00:00,לא,מוגבלת,,2021,אבן יהודה,העצמאות,4,4050272,,ישראל,,,14.07.2019,2019,7
510585847,גבעת סביון בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,12.10.71 00:00,לא,מוגבלת,,2021,יהוד-מונוסון,דרך החורש,4,5647003,,ישראל,,,19.08.2019,2019,8
510590235,גוש 7052 חלקה 216 בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,21.11.71 00:00,לא,מוגבלת,,2022,קיסריה,הרימון,16,3088900,,ישראל,,,03.10.2019,2019,10
510591456,קו גול בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,03.12.71 00:00,לא,מוגבלת,,2022,קיסריה,שחם,3,3088900,,ישראל,,,07.02.2022,2022,2
510595747,רפראקם רפרקטורים וכימיקלים בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,20.01.72 00:00,לא,מוגבלת,,2021,פרדסיה,הרקפת,46,4281500,,ישראל,,,04.03.2018,2018,3
510601974,אוסטאר בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,21.03.72 00:00,לא,מוגבלת,,2022,אבן יהודה,העצמאות,4,40500,,ישראל,חברת ארדע פלסט בע~מ,,16.03.2022,2022,3
510602014,אב סי בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,21.03.72 00:00,לא,מוגבלת,,2022,אבן יהודה,העצמאות,4,4050272,,ישראל,,,06.07.2021,2021,7
510609779,יורם נבו בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,01.06.72 00:00,לא,מוגבלת,,2020,הוד השרון,דרך רמתים,116,4526020,,ישראל,,,24.08.2020,2020,8
510611668,אחים תורתי בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,16.06.72 00:00,לא,מוגבלת,,2021,הוד השרון,,,4510501,547,ישראל,,,08.01.2020,2020,1
510615198,גומאריה בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,12.07.72 00:00,לא,מוגבלת,,2020,הוד השרון,המסגר,7,4524807,,ישראל,,,10.06.2015,2015,6
510617657,אילני שרון בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,04.08.72 00:00,לא,מוגבלת,מפרה,2020,ראש העין,עמל,24,4809267,,ישראל,שברוג בע~מ,,21.02.2014,2014,2
510637283,דומר לבנין ופיתוח בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,09.02.73 00:00,לא,מוגבלת,,2022,יהוד-מונוסון,אלטלף אברהם,11,5621608,,ישראל,דוד מררי,,13.03.2022,2022,3
510641939, סיגלו הנדסה קבלנית בע~מ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,26.03.73 00:00,לא,מוגבלת,,2021,סביון,השקמה,20,5651701,,ישראל,,,16.08.2021,2021,8
510649874,יהודה ונציה בעמ,,ישראלית חברה פרטית,פעילה,,לעסוק בסוגי עיסוק שפורטו בתקנון,05.06.73 00:00,לא,מוגבלת,,2021,ראש העין,המלאכה,18,4809148,,ישראל,,,13.10.2020,2020,10
